workbook_id,category,defined_name_id,scope_sheet_index,hidden,metadata_status,reference_kind,external_reference,functions,calculation_topics,detected_units
48e84a7374ffc7ba,torque-drag-drillstring,n000041,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000042,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000043,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000044,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000045,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000046,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000047,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000048,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000049,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000050,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000051,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000052,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000053,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000054,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000055,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000056,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000057,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000058,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
