id,classification,score,category,archive_relative_path,original_name,extension,bytes,sha256,source_occurrences,sheet_count,sheet_names,formula_count,has_macros,inspection_status,signals
03d6e377ebce5434,drilling_calculation,8,cementing-casing,files/cementing-casing/dale-20-17-2h-surface-casing-run-tally--03d6e377ebce.xlsx,Dale 20-17 2H Surface Casing Run Tally.xlsx,.xlsx,70395,03d6e377ebce5434c7de02e2296141ce76b7a3cd7a3f47a13a1d0a8f46641678,1,1,9.63 Inch Tally,1508,False,openxml-inspected,filename-domain:Casing;path-domain:directional;contains-formulas;formula-rich
c00c3d2869bee7b4,drilling_calculation,9,directional,files/directional/fleck-5h-directional-spreadsheet--c00c3d2869be.xls,Fleck 5H Directional Spreadsheet.xls,.xls,5983232,c00c3d2869bee7b43b487f6ecb98167c0441601afd2fa6b5fb1f47aac536c358,1,0,,,False,binary-format-metadata-only,filename-domain:Directional;filename-calculation-term;path-domain:directional;binary-format-name-evidence
779e267fd49f229e,drilling_calculation,9,directional,files/directional/fleck-6h-directional-spreadsheet--779e267fd49f.xls,Fleck 6H Directional Spreadsheet.xls,.xls,4717568,779e267fd49f229ef40af0a7537e2536cab4a2a20f1b1fcb80b9004ffc38510c,1,0,,,False,binary-format-metadata-only,filename-domain:Directional;filename-calculation-term;path-domain:directional;binary-format-name-evidence
f6201fb121ebbf2c,drilling_calculation,9,directional,files/directional/fleck-7h-directional-spreadsheet--f6201fb121eb.xls,Fleck 7H Directional Spreadsheet.xls,.xls,5156352,f6201fb121ebbf2ce02750200bc1aa4e5f670ac4541b395be1f293bf77f1f19a,1,0,,,False,binary-format-metadata-only,filename-domain:Directional;filename-calculation-term;path-domain:directional;binary-format-name-evidence
9900762f1edd4ae6,drilling_calculation,9,directional,files/directional/greenstein-30-31-5h-directional-spreadsheet--9900762f1edd.xls,Greenstein 30-31 5H Directional Spreadsheet.xls,.xls,4738048,9900762f1edd4ae61c1de1a8131a750bd215add6d7e7f836a5948711f53bfb42,1,0,,,False,binary-format-metadata-only,filename-domain:Directional;filename-calculation-term;path-domain:directional;binary-format-name-evidence
d338233f05c5e396,drilling_calculation,9,directional,files/directional/greenstein-30-316h-directional-spreadsheet--d338233f05c5.xls,Greenstein 30-316H Directional Spreadsheet.xls,.xls,4738560,d338233f05c5e39689c66f0365b235d2f0c79d113e3483450f45a386ff05da5c,1,0,,,False,binary-format-metadata-only,filename-domain:Directional;filename-calculation-term;path-domain:directional;binary-format-name-evidence
ae621c1b35daafb1,drilling_calculation,11,directional,files/directional/ouija-0-vs-above-below-calc--ae621c1b35da.xlsx,Ouija & 0 VS Above-Below Calc.xlsx,.xlsx,14896,ae621c1b35daafb1cb55f1aa04e2ca8252a1dc611e772f2f7ec8e3e1191b7f0e,1,2,Quija | Above - Below,25,False,openxml-inspected,filename-domain:Ouija;filename-calculation-term;path-domain:directional;contains-formulas;formula-rich
8c2e041f05eb97d0,drilling_calculation,9,general-drilling,files/general-drilling/drilling-calcs--8c2e041f05eb.xls,Drilling calcs.XLS,.xls,572416,8c2e041f05eb97d0221f211edb7b87bdecd1823b24662d502ab9746306abd0b2,1,0,,,False,binary-format-metadata-only,filename-domain:Drilling;filename-calculation-term;path-calculation-term;binary-format-name-evidence
787752da0f1ca014,drilling_calculation,9,general-drilling,files/general-drilling/drilling-performace-template--787752da0f1c.xls,Drilling Performace Template.xls,.xls,54784,787752da0f1ca014f48b0273e0429fb716029780647a03e1f4b1d3532a528833,1,0,,,False,binary-format-metadata-only,filename-domain:Drilling;filename-calculation-term;path-calculation-term;binary-format-name-evidence
f0be457863a6cecc,drilling_calculation,9,hydraulics,files/hydraulics/2-phase-flow-equivalent-rate-calcs--f0be457863a6.xls,2-phase flow equivalent rate calcs.xls,.xls,40448,f0be457863a6ceccfe137c67ba9adeb9a54d1a71de7e89f7353a78aba5b27b95,1,0,,,False,binary-format-metadata-only,filename-domain:2-phase;filename-calculation-term;path-calculation-term;binary-format-name-evidence
103555378b7cd4f8,drilling_calculation,9,hydraulics,files/hydraulics/binghamplasticcriticalqpredict--103555378b7c.xlsx,BinghamPlasticCriticalQPredict.xlsx,.xlsx,375568,103555378b7cd4f84c7eeddb3095b2e9475183ef8efa6e4b49238747ad31043f,1,3,Sheet1 | Sheet2 | Sheet3,3976,False,openxml-inspected,filename-domain:Bingham;path-domain:hydraulics;path-calculation-term;contains-formulas;formula-rich
bcae2b0cfa613071,drilling_calculation,9,hydraulics,files/hydraulics/binghamplasticlargedatasamplefiltered--bcae2b0cfa61.xlsx,BinghamPlasticLargeDataSampleFiltered.xlsx,.xlsx,15737148,bcae2b0cfa613071f5d9965c8811fb377bc9973ecc6a46b7fdc0bac63a32eee0,1,5,Data | Pipe | Ann | Bit | Sheet1,104545,False,openxml-inspected,filename-domain:Bingham;path-domain:hydraulics;path-calculation-term;contains-formulas;formula-rich
