workbook_id,category,extension,bytes,integrity_matches_index,extraction_method,extraction_status,static_coverage,sheet_count,hidden_sheet_count,very_hidden_sheet_count,macro_sheet_count,formula_cells,formula_families,defined_names,unit_dimensions,canonical_units,calculation_topics,external_reference_formulas,volatile_formula_cells,iterative_calculation,vba_status,vba_pcode_inspection,has_vba,vba_modules,vba_procedures,event_procedures,macro_indicator_count
431420c5c348232e,torque-drag-drillstring,.xls,45056,True,calamine-static,ok,calamine-supported-records-and-vba-complete,1,0,0,0,17,15,1,angle|density|length|pressure,deg|ft|ppg|psi,casing.strength|hydraulics.hydrostatic-pressure|torque-drag.stress-capacity|torque-drag.unresolved,0,1,,ok,enabled,False,0,0,0,0
482b9ee6b3cdd008,hydraulics,.xlsx,12706,True,openpyxl-read-only,ok,ooxml-formulas-names-and-vba-complete,3,0,0,0,32,17,0,,,hydraulics.unresolved,0,0,,ok,enabled,False,0,0,0,0
48e84a7374ffc7ba,torque-drag-drillstring,.xls,42496,True,calamine-static,ok,calamine-supported-records-and-vba-complete,3,0,0,0,96,51,112,angle|area|dynamic_viscosity|force|fraction|length|pressure|time|volume,N|cP|deg|ft|in^2|in^3|min|percent|psi,bha.bending-loading|bha.motor-performance|torque-drag.connection-capacity|torque-drag.unresolved|well-control.pressure-schedule,0,3,,ok,enabled,False,0,0,0,0
4cbca8b6c3894d03,hydraulics,.xls,97280,True,calamine-static,ok,calamine-supported-records-and-vba-complete,4,0,0,0,16,15,0,fraction|length|temperature|time|volume,bbl|degF|h|m|mm|percent,hydraulics.unresolved,0,0,,ok,enabled,False,0,0,0,0
4d958ab4bc13174c,hydraulics,.xlsx,1028779,True,openpyxl-read-only,ok,ooxml-formulas-names-and-vba-complete,4,0,0,0,655,31,0,angle|area|density|dynamic_viscosity|length|penetration_rate|pressure|rotational_speed|time|volumetric_flow,cP|ft|ft/h|ft^2|gal/min|in|min|mm|ppg|psi|rad|rpm,cross-cutting.validation|hydraulics.equivalent-circulating-density|hydraulics.pressure-loss|hydraulics.reynolds-number|hydraulics.unresolved,0,0,,ok,enabled,False,0,0,0,0
53335805f35b505d,uncategorized,.xlsx,29282,True,openpyxl-read-only,ok,ooxml-formulas-names-and-vba-complete,4,0,0,0,481,2,0,area|density|dynamic_viscosity|length|penetration_rate|pressure|rotational_speed|time|volumetric_flow,cP|ft|ft/h|ft^2|gal/min|in|min|ppg|psi|rpm,cross-cutting.validation|hydraulics.equivalent-circulating-density|hydraulics.pressure-loss,0,0,,ok,enabled,False,0,0,0,0
56583a81cfd6535e,hydraulics,.xlsx,1037406,True,openpyxl-read-only,ok,ooxml-formulas-names-and-vba-complete,4,0,0,0,765,40,0,angle|area|density|dynamic_viscosity|length|penetration_rate|pressure|rotational_speed|time|volumetric_flow,cP|ft|ft/h|ft^2|gal/min|in|min|mm|ppg|psi|rad|rpm,cross-cutting.validation|hydraulics.equivalent-circulating-density|hydraulics.pressure-loss|hydraulics.reynolds-number|hydraulics.unresolved,0,0,,ok,enabled,False,0,0,0,0
5692bbb13d3ca49e,bha-tools,.xls,32768,True,calamine-static,ok,calamine-supported-records-and-vba-complete,3,0,0,0,8,6,0,length|pressure|rotational_speed|time|velocity,ft/min|in|min|psi|rpm,bha.unresolved,0,0,,ok,enabled,False,0,0,0,0
581aa9ad4b0e03f1,bha-tools,.xlsx,942822,True,openpyxl-read-only,ok,ooxml-formulas-names-and-vba-complete,8,0,0,0,45,1,0,angle|length|rotational_speed,deg|ft|m|mm|rpm,bha.geometry,0,0,,ok,enabled,False,0,0,0,0
5a338156f0e62d7c,torque-drag-drillstring,.xlsm,33527,True,openpyxl-read-only,ok,ooxml-formulas-names-and-vba-complete,6,0,0,0,143,29,0,density|force|length|linear_mass|pressure,MPa|ft|in|kN|kg/m^3|lbm/ft|lbm/ft^3|m|mm|psi,bha.geometry|hydraulics.fluid-properties|torque-drag.unresolved,0,0,,ok,enabled,False,0,0,0,0
5adf5f7d44a22ab7,bha-tools,.xlsx,16488,True,openpyxl-read-only,ok,ooxml-formulas-names-and-vba-complete,1,0,0,0,0,0,0,,,,0,0,,ok,enabled,False,0,0,0,0
5eb097b4508eedac,hydraulics,.xlsx,595993,True,openpyxl-read-only,ok,ooxml-formulas-names-and-vba-complete,3,0,0,0,13,8,0,,,hydraulics.reynolds-number|hydraulics.unresolved,0,0,,ok,enabled,False,0,0,0,0
659bcaadadb110f0,torque-drag-drillstring,.xls,337920,True,calamine-static,ok,calamine-supported-records-and-vba-complete,5,0,0,0,0,0,0,angle|force|length|torque,deg|ft|ft*lbf|lbf,cross-cutting.unit-conversion|hydraulics.fluid-properties|torque-drag.axial-load|torque-drag.torque,0,0,,ok,enabled,True,12,38,5,24
65e07d7859867671,hydraulics,.xls,5943808,True,calamine-static,ok,calamine-supported-records-and-vba-complete,13,6,0,0,532,8,9,angle|area|density|force|fraction|length|linear_mass|penetration_rate|pressure|rotational_speed|time|volumetric_flow,Pa|deg|ft|ft/h|ft^2|gal/min|in|lbf|lbm/ft|lbm/ft^3|m^2|min|percent|ppg|rpm,bha.geometry|cross-cutting.lookup|directional.coordinates|hydraulics.fluid-properties|hydraulics.hole-cleaning|hydraulics.reynolds-number|hydraulics.rheology|hydraulics.unresolved,0,0,,ok,enabled,True,22,38,1,8
69b5527651746601,hydraulics,.xlsx,1027358,True,openpyxl-read-only,ok,ooxml-formulas-names-and-vba-complete,4,0,0,0,451,3,0,angle|area|density|dynamic_viscosity|length|penetration_rate|pressure|rotational_speed|time|volumetric_flow,cP|ft|ft/h|ft^2|gal/min|in|min|mm|ppg|psi|rad|rpm,cross-cutting.validation|hydraulics.equivalent-circulating-density|hydraulics.pressure-loss|hydraulics.unresolved,0,0,,ok,enabled,False,0,0,0,0
6abd1401132ecde4,hydraulics,.xlsx,1024335,True,openpyxl-read-only,ok,ooxml-formulas-names-and-vba-complete,4,0,0,0,481,2,0,angle|area|density|dynamic_viscosity|length|penetration_rate|pressure|rotational_speed|time|volumetric_flow,cP|ft|ft/h|ft^2|gal/min|in|min|mm|ppg|psi|rad|rpm,cross-cutting.validation|hydraulics.equivalent-circulating-density|hydraulics.pressure-loss,0,0,,ok,enabled,False,0,0,0,0
779e267fd49f229e,directional,.xls,4717568,True,calamine-static,ok,calamine-supported-records-and-vba-complete,10,0,0,0,2266,124,9615,angle|fraction|length|time,deg|ft|h|percent|rad|s,cross-cutting.lookup|directional.coordinates|directional.dogleg-severity|directional.unresolved|torque-drag.connection-capacity,0,0,,ok,enabled,True,11,15,0,6
779fd4af0ea2b337,hydraulics,.xlsx,1025804,True,openpyxl-read-only,ok,ooxml-formulas-names-and-vba-complete,4,0,0,0,552,7,0,angle|area|density|dynamic_viscosity|length|penetration_rate|pressure|rotational_speed|time|volumetric_flow,cP|ft|ft/h|ft^2|gal/min|in|min|mm|ppg|psi|rad|rpm,cross-cutting.validation|hydraulics.equivalent-circulating-density|hydraulics.fluid-properties|hydraulics.pressure-loss|hydraulics.reynolds-number,0,0,,ok,enabled,False,0,0,0,0
787752da0f1ca014,general-drilling,.xls,54784,True,calamine-static-after-standard-office-decryption,ok,calamine-supported-records-and-vba-complete,4,0,0,0,0,0,4,fraction|length|time|volume,bbl|ft|h|m|mm|percent,,0,0,,ok,enabled,False,0,0,0,0
7a610befec9d9d7c,bha-tools,.xlsx,146014,True,openpyxl-read-only,ok,ooxml-formulas-names-and-vba-complete,2,0,0,0,401,22,0,angle|area|length|linear_mass|mass|penetration_rate|pressure|rotational_speed|torque|volume,N*m|bbl|deg|kPa|kg|kg/m|lbm/ft|m|m/h|m^2|mm|rpm,bha.geometry|cross-cutting.lookup|torque-drag.axial-load|torque-drag.connection-capacity|torque-drag.stress-capacity,0,0,,ok,enabled,False,0,0,0,0
