workbook_id,category,module_id,record_id,record_kind,module_kind,procedure_kind,visibility,execution_trigger,source_status,source_lines,executable_lines,calculation_topics,detected_units,risk_signals
b147eb91b2f2fd18,thermal,m0090,m0090-p0019,procedure,user-form,sub,private,explicit-call,available,5,3,,h,
b147eb91b2f2fd18,thermal,m0090,m0090-p0020,procedure,user-form,sub,private,explicit-call,available,85,60,cross-cutting.lookup,,
b147eb91b2f2fd18,thermal,m0090,m0090-p0021,procedure,user-form,sub,private,explicit-call,available,30,25,bha.motor-performance|cross-cutting.lookup,N,
b147eb91b2f2fd18,thermal,m0090,m0090-p0022,procedure,user-form,sub,private,explicit-call,available,5,3,,h,
b147eb91b2f2fd18,thermal,m0090,m0090-p0023,procedure,user-form,sub,private,explicit-call,available,20,14,,,
b147eb91b2f2fd18,thermal,m0091,m0091,module,user-form,,,,available,0,0,,,
b147eb91b2f2fd18,thermal,m0092,m0092,module,standard-module,,,,available,429,0,bha.motor-performance|cross-cutting.unit-conversion,N|h|mm,
b147eb91b2f2fd18,thermal,m0092,m0092-p0001,procedure,standard-module,sub,public,explicit-call,available,7,7,,,
b147eb91b2f2fd18,thermal,m0092,m0092-p0002,procedure,standard-module,sub,public,explicit-call,available,7,7,,,
b147eb91b2f2fd18,thermal,m0092,m0092-p0003,procedure,standard-module,sub,public,explicit-call,available,140,101,bha.motor-performance,N|h|mm,
b147eb91b2f2fd18,thermal,m0092,m0092-p0004,procedure,standard-module,sub,public,explicit-call,available,23,14,,,
b147eb91b2f2fd18,thermal,m0092,m0092-p0005,procedure,standard-module,sub,public,explicit-call,available,130,94,bha.motor-performance,N|h|mm,
b147eb91b2f2fd18,thermal,m0092,m0092-p0006,procedure,standard-module,sub,public,explicit-call,available,117,75,bha.motor-performance|cross-cutting.unit-conversion,N|h,
b147eb91b2f2fd18,thermal,m0093,m0093,module,standard-module,,,,available,133,0,cross-cutting.optimization|cross-cutting.unit-conversion|directional.dogleg-severity,ft|in,com-automation|environment-access
b147eb91b2f2fd18,thermal,m0093,m0093-p0001,procedure,standard-module,sub,public,explicit-call,available,7,7,,,
b147eb91b2f2fd18,thermal,m0093,m0093-p0002,procedure,standard-module,sub,public,explicit-call,available,7,7,,,
b147eb91b2f2fd18,thermal,m0093,m0093-p0003,procedure,standard-module,sub,public,explicit-call,available,42,24,cross-cutting.optimization|cross-cutting.unit-conversion|directional.dogleg-severity,in,
